station_id,station_name,date,temperature,region
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-05,59.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-06,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-07,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-08,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-09,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-10,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-11,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-12,52.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-13,51.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-14,56.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-15,68.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-16,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-17,71.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-18,65.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-19,65.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-20,62.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-21,61.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-22,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-23,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-24,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-25,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-26,67.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-27,71.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-28,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-29,65.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-30,74.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-03-31,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-01,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-02,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-03,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-04,58.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-05,53.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-06,57.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-07,60.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-08,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-09,53.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-10,55.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-11,61.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-04-12,67.0,Region_0
